States/UTs,District,Murder,Attempt to commit Murder,Rape,Rape_Gang Rape,Rape_Others,Kidnapping & Abduction_Total,Kidnapping & Abduction in order to Murder,Dacoity,Dacoity with Murder,Robbery,Criminal Trespass/Burglary,Theft,Unlawful Assembly,Riots,Riots_Communal,Riots_Industrial,Riots_SC/STs Vs Non-SCs/STs,Riots_Others,Cheating,Forgery,Counterfeiting,Counterfeit Offences related to Counterfeit Coin,Counterfeiting Government Stamp,Making or Possessing materials for forged currency/Bank notes,Arson,Grievous Hurt,Dowry Deaths,Assault on Women with intent to outrage her Modesty,Sexual Harassment,Voyeurism,Stalking,Importation of Girls from Foreign Country,Disclosure of Identity of Victims,Incidence of Rash Driving,HumanTrafficking,Total Cognizable IPC crimes
Andhra Pradesh,Anantapur,134,171,35,0,35,125,0,6,0,30,415,753,0,214,0,0,0,214,296,0,10,0,0,0,12,25,25,436,82,4,80,0,0,1038,0,8376
Andhra Pradesh,Chittoor,84,170,32,1,31,38,0,12,0,22,195,528,0,134,0,0,0,134,207,0,5,0,0,0,23,18,17,135,0,0,0,0,0,249,0,5374
Andhra Pradesh,Cuddapah,80,162,28,0,28,27,0,3,0,16,144,638,0,104,0,0,0,0,163,0,5,0,0,0,0,39,16,215,212,0,0,0,0,948,0,5803
Andhra Pradesh,East Godavari,64,84,85,0,85,66,0,3,0,24,346,903,0,27,0,0,0,27,214,0,22,0,0,0,50,44,7,519,159,11,55,0,0,39,0,7630
Andhra Pradesh,Guntakal Railway,14,4,0,0,0,0,0,2,0,4,0,413,0,1,0,0,0,1,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,490
Andhra Pradesh,Guntur,105,137,49,0,49,64,2,5,0,24,210,711,0,78,0,0,6,72,328,16,5,0,0,1,52,37,16,245,17,3,8,0,0,846,0,6897
Andhra Pradesh,Guntur Urban,51,65,40,1,39,84,0,5,0,31,173,1045,0,8,0,0,0,8,531,22,2,0,0,0,35,29,12,160,0,0,0,0,0,691,0,5798
Andhra Pradesh,Krishna,51,47,80,1,79,41,0,0,0,15,302,521,0,9,0,0,0,9,242,0,11,0,0,0,23,39,8,354,98,13,76,0,0,70,0,7078
Andhra Pradesh,Kurnool,118,135,32,1,31,53,0,3,0,28,244,563,0,108,4,0,9,94,639,0,4,0,0,0,33,9,12,403,81,2,40,0,0,1313,0,8398
Andhra Pradesh,Nellore,78,117,58,3,55,153,1,8,0,44,381,1058,0,84,0,0,0,74,239,32,2,0,0,0,45,31,14,295,79,8,32,0,0,1173,1,8175
