States/UTs,District,Murder,Rape_total,Kidnapping & Abduction_Total,Dacoity_total,Robbery,Criminal Trespass/Burglary,Theft,Unlawful Assembly,Riots,Cheating,Forgery,Counterfeit_Total,Arson,Grievous Hurt,Dowry Deaths,Assault on Women with intent to outrage her Modesty,Sexual Harassment,Stalking,Importation of Girls from Foreign Country,Disclosure of Identity of Victims,Incidence of Rash Driving,HumanTrafficking,Total Cognizable IPC crimes
Andhra Pradesh,Anantapur,134,105,125,12,30,415,753,0,214,296,0,30,12,25,25,436,82,80,0,0,1038,0,8376
Andhra Pradesh,Chittoor,84,96,38,24,22,195,528,0,134,207,0,15,23,18,17,135,0,0,0,0,249,0,5374
Andhra Pradesh,Cuddapah,80,84,27,6,16,144,638,0,104,163,0,15,0,39,16,215,212,0,0,0,948,0,5803
Andhra Pradesh,East Godavari,64,255,66,6,24,346,903,0,27,214,0,66,50,44,7,519,159,55,0,0,39,0,7630
Andhra Pradesh,Guntakal Railway,14,0,0,4,4,0,413,0,1,5,0,15,0,0,0,0,0,0,0,0,1,0,490
Andhra Pradesh,Guntur,105,147,64,10,24,210,711,0,78,328,16,15,52,37,16,245,17,8,0,0,846,0,6897
Andhra Pradesh,Guntur Urban,51,120,84,10,31,173,1045,0,8,531,22,6,35,29,12,160,0,0,0,0,691,0,5798
Andhra Pradesh,Krishna,51,240,41,0,15,302,521,0,9,242,0,33,23,39,8,354,98,76,0,0,70,0,7078
Andhra Pradesh,Kurnool,118,96,53,6,28,244,563,0,108,639,0,12,33,9,12,403,81,40,0,0,1313,0,8398
Andhra Pradesh,Nellore,78,174,153,16,44,381,1058,0,84,239,32,6,45,31,14,295,79,32,0,0,1173,1,8175
Andhra Pradesh,Prakasham,75,150,50,10,23,247,617,31,124,261,48,3,28,18,8,197,24,13,0,0,785,0,6367
Andhra Pradesh,Rajahmundry,18,105,15,6,14,214,361,0,16,105,7,9,13,23,3,121,37,17,0,0,394,0,2430
Andhra Pradesh,Srikakulam,30,120,33,0,8,152,236,0,17,153,10,3,18,67,3,214,26,22,0,0,895,0,4727
Andhra Pradesh,Tirupathi Urban,35,54,24,4,8,227,1148,0,31,248,0,21,11,3,13,60,2,5,0,0,429,0,3651
Andhra Pradesh,Vijayawada City,23,192,42,6,48,345,2016,25,2,391,46,36,21,25,10,279,40,91,0,0,1366,1,7876
Andhra Pradesh,Vijayawada Railway,1,0,3,0,7,0,1085,0,0,7,0,117,0,0,2,8,4,0,0,0,0,0,1223
Andhra Pradesh,Visakha Rural,43,114,24,10,5,88,179,0,14,90,2,12,23,33,4,129,35,6,0,0,507,0,3028
Andhra Pradesh,Visakhapatnam,38,252,130,8,46,392,1358,0,3,413,3,21,14,64,13,147,50,27,0,0,1831,0,7728
Andhra Pradesh,Vizianagaram,43,141,27,4,4,176,388,0,13,149,0,3,13,41,8,225,0,0,0,0,913,0,5013
Andhra Pradesh,West Godavari,90,438,67,9,32,468,1096,3,26,410,13,42,36,52,24,405,126,32,0,0,1165,0,8542
Andhra Pradesh,Total,1175,2883,1066,151,433,4719,15617,59,1013,5091,199,480,450,597,215,4547,1072,504,0,0,14653,2,114604
Arunachal Pradesh,Anjaw,0,0,1,0,0,6,2,0,1,1,0,0,0,2,0,1,1,0,0,0,0,0,29
Arunachal Pradesh,Changlang,9,18,11,2,5,18,50,0,1,0,0,0,1,15,0,0,0,0,0,0,9,0,180
Arunachal Pradesh,Crime Branch,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4
Arunachal Pradesh,Dibang Valley,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Arunachal Pradesh,Kameng East,4,3,7,4,4,8,18,0,0,3,1,0,2,18,0,6,0,0,0,0,0,0,148
Arunachal Pradesh,Kameng West,7,0,3,2,3,4,21,0,8,3,0,0,5,8,0,9,8,1,0,0,15,0,140
Arunachal Pradesh,Kukung Kumey,4,9,2,0,0,5,5,0,1,0,0,0,1,10,0,1,0,0,0,0,2,0,49
Arunachal Pradesh,Lohit,10,21,25,2,8,32,39,0,3,5,0,3,2,16,0,13,0,0,0,0,0,0,280
Arunachal Pradesh,Longding,4,9,9,2,1,9,5,1,0,0,0,0,0,13,0,3,1,0,0,0,0,0,92
Arunachal Pradesh,Lower Dibang Valley,2,9,4,2,1,10,21,0,0,2,0,0,0,10,0,0,0,0,0,0,4,0,75
Arunachal Pradesh,Papum Pare City,13,96,52,0,11,36,154,0,6,49,7,0,3,42,1,26,1,0,0,0,29,0,661
Arunachal Pradesh,Papum Pare Rural,7,0,7,4,3,6,20,0,2,2,1,0,0,9,0,4,0,0,0,0,0,0,96
Arunachal Pradesh,Siang East,5,33,4,0,3,20,49,5,0,5,1,0,9,23,0,21,8,0,0,0,14,0,245
Arunachal Pradesh,Siang Upper,1,3,0,2,0,8,8,0,0,1,0,0,1,2,0,1,0,0,0,0,0,0,40
Arunachal Pradesh,Siang West,10,18,2,0,4,18,29,0,4,13,2,0,2,30,0,11,0,0,0,0,13,0,249
Arunachal Pradesh,Subansiri Lower,4,3,7,2,10,22,18,0,3,6,0,0,6,22,0,6,0,0,0,0,0,0,160
Arunachal Pradesh,Subansiri Upper,3,15,2,2,5,11,33,0,4,5,2,0,7,19,0,16,0,0,0,0,16,0,234
Arunachal Pradesh,Tawang,1,0,0,0,0,2,14,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,40
Arunachal Pradesh,Tirap,2,9,10,0,3,9,12,0,0,5,0,0,0,6,0,2,2,0,0,0,0,0,117
Arunachal Pradesh,Total,86,249,146,24,61,224,498,6,33,103,14,3,39,247,1,121,21,1,0,0,102,0,2843
Assam,Barpeta,46,429,379,18,5,357,448,133,306,260,8,42,38,424,21,556,198,0,0,0,309,0,9056
Assam,Baska,31,78,41,10,16,42,124,0,0,26,0,0,29,115,4,27,0,0,0,0,31,0,853
Assam,Bongaigaon,17,93,51,6,12,84,190,0,15,55,0,3,11,98,4,8,0,0,0,0,85,0,1789
Assam,Cachar,58,243,249,18,24,274,756,0,202,97,0,12,55,45,14,50,0,0,0,0,404,0,5640
Assam,Chirang,37,87,58,7,6,39,95,0,19,33,1,0,17,85,7,33,0,0,0,0,0,0,863
Assam,Darrang,33,333,208,12,17,174,363,0,82,211,3,0,38,447,11,453,33,0,0,0,236,2,3901
Assam,Dhemaji,18,135,84,6,15,26,106,0,0,52,0,3,5,136,3,51,3,0,0,0,25,5,1068
Assam,Dhubri,58,579,420,48,21,280,432,265,531,272,0,9,82,1708,10,193,0,0,0,0,0,0,7153
Assam,Dibrugarh,77,201,163,12,43,150,826,2,12,40,2,6,23,330,5,105,0,0,0,0,0,0,3108
Assam,G. R. P.,9,3,10,6,2,2,187,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,319
Assam,Goalpara,44,324,218,42,23,243,266,0,52,137,0,0,28,360,8,121,0,0,0,0,0,2,2623
Assam,Golaghat,88,222,238,24,41,87,365,34,29,37,7,3,32,448,7,74,0,0,0,0,0,4,2932
Assam,Guwahati City,84,300,455,43,247,924,3095,18,155,449,31,24,50,179,11,143,50,0,0,0,447,0,12216
Assam,Hailakandi,24,231,104,7,3,93,178,0,287,44,0,0,9,13,4,23,0,0,0,0,0,0,1940
Assam,Jorhat,30,108,94,16,76,145,518,0,7,169,0,0,22,259,6,157,0,0,0,0,325,0,3732
Assam,Kamrup,65,231,164,28,63,274,727,1,0,101,10,8,12,45,1,15,0,0,0,0,304,4,2785
Assam,Karbi Anglong,38,69,78,6,10,2,181,6,6,29,2,6,0,95,0,26,0,0,0,0,16,11,960
Assam,Karimganj,33,225,119,36,8,220,199,237,57,82,15,6,29,209,13,10,0,0,0,0,123,0,2827
Assam,Kokrajhar,60,135,106,10,7,46,229,0,10,35,0,12,35,80,3,47,0,0,1,0,0,0,1419
Assam,Lakhimpur,40,201,150,2,7,137,236,0,37,115,0,0,6,35,4,55,0,0,0,0,68,0,2872
Assam,Morigaon,28,243,174,16,12,93,234,88,130,127,0,6,17,222,7,328,0,0,0,0,118,16,2557
Assam,N. C. Hills,76,18,30,0,5,17,46,0,4,4,0,0,2,19,0,0,0,0,0,0,0,0,299
Assam,Nagaon,104,561,454,111,127,455,735,14,485,175,14,0,98,909,22,350,174,0,0,0,331,6,8399
Assam,Nalbari,27,123,116,36,114,145,225,0,23,43,0,3,8,32,0,0,0,0,0,0,0,0,2122
Assam,Sibsagar,80,132,222,6,42,196,599,19,31,95,0,24,29,811,6,153,0,0,0,0,0,0,4236
Assam,Sonitpur,110,336,222,8,27,282,566,0,90,146,3,6,31,227,5,20,0,0,0,0,229,13,3906
Assam,Tinsukia,90,198,143,14,45,106,679,17,47,96,3,3,16,109,3,66,0,0,0,0,151,4,3309
Assam,Udalguri,46,102,73,6,20,61,132,0,18,24,0,9,21,143,9,35,0,0,0,0,0,1,1453
Assam,Total,1451,5940,4823,554,1038,4954,12737,834,2640,2956,99,185,743,7583,188,3099,458,0,1,0,3202,68,94337
Bihar,Araria,53,105,85,32,28,49,310,6,306,108,18,0,11,26,17,1,0,0,0,0,52,0,3898
Bihar,Arwal,25,18,26,10,8,51,78,3,82,42,12,0,3,25,11,4,1,0,0,0,45,3,991
Bihar,Aurangabad,74,36,86,67,27,104,352,8,250,122,28,9,12,199,28,29,25,1,0,0,247,4,3079
Bihar,Bagaha,21,42,76,4,8,26,147,0,123,33,0,3,2,8,7,38,25,1,0,0,18,0,1860
Bihar,Banka,59,66,73,22,19,41,143,0,195,10,0,0,17,327,23,3,0,0,0,0,87,0,2505
Bihar,Begusarai,121,90,209,66,60,145,598,9,461,89,38,4,24,79,28,37,2,3,0,0,258,0,5196
Bihar,Bettiah,75,99,115,14,11,121,497,0,508,155,0,15,19,10,39,0,0,0,0,0,68,0,4712
Bihar,Bhabhua,56,36,86,16,21,79,344,0,97,49,0,0,13,5,12,0,0,0,0,0,98,0,2267
Bihar,Bhagalpur,102,156,213,29,42,225,677,0,348,87,109,2,10,2,20,31,16,2,0,0,140,1,4763
Bihar,Bhojpur,116,96,151,30,23,224,520,10,205,426,130,0,41,611,46,7,2,0,0,0,126,0,5488
Bihar,Buxar,56,48,87,12,32,100,438,0,358,36,0,0,10,260,24,13,13,0,0,0,91,0,3284
Bihar,Darbhanga,71,150,289,24,36,145,585,0,621,120,0,0,28,373,30,8,8,0,0,0,140,0,5368
Bihar,Gaya,145,144,248,105,77,209,1366,0,543,73,27,0,5,907,63,0,0,0,0,0,419,3,7232
Bihar,Gopalganj,87,42,172,20,36,79,276,0,398,153,26,0,18,299,33,0,0,0,0,0,0,0,3879
Bihar,Jamalpur Railway,9,0,4,7,3,2,195,0,1,2,0,0,0,0,0,3,3,0,0,0,0,0,298
Bihar,Jamui,61,69,70,16,33,54,124,0,133,23,23,0,3,79,21,10,0,0,0,0,77,0,1699
Bihar,Jehanabad,38,30,84,18,30,40,215,0,202,36,0,0,11,723,22,0,0,0,0,0,71,0,1968
Bihar,Katihar,70,195,144,34,33,84,447,0,238,71,13,0,4,169,14,0,0,0,0,0,108,2,3415
Bihar,Katihar Railway,10,0,3,2,8,4,182,0,4,4,0,0,1,4,0,11,3,0,0,0,0,3,313
Bihar,Khagaria,52,42,118,20,19,31,165,0,172,72,7,0,19,136,17,2,2,0,0,0,83,0,2589
Bihar,Kishanganj,46,192,122,16,12,52,261,0,171,75,3,0,13,298,12,22,1,0,0,0,59,5,1982
Bihar,Lakhisarai,46,30,66,13,20,21,181,11,193,39,14,0,10,60,8,63,43,0,0,0,75,14,1728
Bihar,Madhepura,44,30,78,10,37,43,185,21,225,37,71,0,10,35,8,8,8,0,0,0,76,0,2426
Bihar,Madhubani,74,123,199,48,33,124,410,0,406,35,40,0,4,323,34,9,9,0,0,0,127,3,5113
Bihar,Motihari,146,93,262,47,25,240,660,0,944,130,0,12,25,800,75,0,0,0,0,0,0,0,9490
Bihar,Munger,46,33,52,11,28,51,199,0,195,62,20,0,16,7,8,5,3,0,0,0,63,0,1778
Bihar,Muzaffarpur,185,132,444,56,134,281,2097,0,659,330,0,570,24,2943,178,166,83,0,5,0,0,0,9373
Bihar,Muzaffarpur Railway,18,6,9,8,1,4,316,0,7,0,14,0,0,6,2,1,0,0,0,0,2,0,596
Bihar,Nalanda,107,87,207,18,58,95,464,0,328,157,5,0,15,630,59,4,0,0,0,0,371,0,6871
Bihar,Naugachia,37,30,54,8,16,17,76,0,84,25,0,0,3,10,10,3,3,0,0,0,44,0,1732
Bihar,Nawadah,84,66,94,14,61,61,269,0,338,48,31,0,6,269,22,10,10,0,0,0,108,0,3408
